proteins,genes
1005342,1005337
1005347,1005346
1005372,1005371
1005377,1005376
1005396,1005385
1005409,1005403
1005423,1005416
1005436,1005430
1005441,1005440
1005457,1005456
1005497,1005483
1005511,1005504
1005548,1005542
1005553,1005552
1005567,1005560
1005572,1005571
1005577,1005576
1005582,1005581
1005593,1005588
1005602,1005601
1005624,1005623
1005633,1005630
1005652,1005640
1005679,1005678
1005684,1005683
1005689,1005688
1005693,1005692
1005705,1005700
1005716,1005711
1005733,1005722
1005738,1005737
1005756,1005755
1005761,1005760
1005790,1005785
1005799,1005796
1005831,1005830
1005836,1005835
1005847,1005842
1005854,1005853
1005865,1005860
1005881,1005874
1005886,1005885
1005905,1005904
1005934,1005928
1005964,1005963
1005969,1005968
1005974,1005973
1005985,1005981
1006002,1005991
1006007,1006006
1006030,1006024
1006048,1006047
1006057,1006054
1006062,1006061
1006092,1006091
1006099,1006098
1006104,1006103
1006113,1006110
1006127,1006120
1006134,1006133
1006143,1006140
1006148,1006147
1006161,1006160
1006174,1006173
1006185,1006181
1006217,1006213
1006222,1006221
1006227,1006226
1006242,1006233
1006251,1006248
1006256,1006255
1006266,1006265
1006294,1006293
1006302,1006301
1006330,1006329
1006335,1006334
1006340,1006339
1006345,1006344
1006355,1006352
1006367,1006362
1006376,1006373
1006413,1006401
1006418,1006417
1006451,1006448
1006456,1006455
1006461,1006460
1006466,1006465
1006471,1006470
1006476,1006475
1006505,1006499
1006515,1006512
1006532,1006531
1006543,1006538
1006570,1006569
1006578,1006577
1006583,1006582
1006588,1006587
1006593,1006592
1006605,1006599
1006614,1006613
1006638,1006637
1006643,1006642
1006657,1006652
1006692,1006684
1006697,1006696
1006702,1006701
1006711,1006708
1006716,1006715
1006727,1006722
1006738,1006733
1006763,1006760
1006799,1006791
1006806,1006805
1006839,1006836
1006851,1006846
1006856,1006855
1006861,1006860
1006871,1006868
1006880,1006877
1006896,1006890
1006919,1006918
1006939,1006934
1006969,1006968
1006974,1006973
1006981,1006980
1006986,1006985
1006991,1006990
1006998,1006997
1007022,1007015
1007036,1007030
1007056,1007055
1007067,1007063
1007072,1007071
1007105,1007104
1007112,1007111
1007125,1007120
1007130,1007129
1007135,1007134
1007147,1007142
1007158,1007153
1007178,1007177
1007198,1007191
1007218,1007217
1007247,1007246
1007252,1007251
1007257,1007256
1007268,1007263
1007278,1007274
1007287,1007284
1007307,1007306
1007312,1007311
1007335,1007334
1007345,1007342
1007359,1007352
1007393,1007386
1007398,1007397
1007403,1007402
1007410,1007409
1007421,1007417
1007430,1007427
1007445,1007442
1007482,1007470
1007489,1007488
1007523,1007516
1007528,1007527
1007536,1007535
1007545,1007544
1007550,1007549
1007555,1007554
1007560,1007559
1007588,1007587
1007620,1007613
1007625,1007624
1007658,1007653
1007672,1007664
1007677,1007676
1007682,1007681
1007687,1007686
1007703,1007693
1007714,1007709
1007745,1007738
1007752,1007751
1007757,1007756
1007779,1007778
1007793,1007786
1007825,1007824
1007830,1007829
1007835,1007834
1007840,1007839
1007845,1007844
1007862,1007851
1007867,1007866
1007886,1007879
1007891,1007890
1007913,1007912
1007918,1007917
1007944,1007943
1007948,1007947
1007953,1007952
1007961,1007960
1007966,1007965
1007975,1007972
1007984,1007981
1007998,1007997
