protein,keywords
1002846,1000195
1002846,1001942
1002855,1000012
1002855,1000015
1002855,1000308
1002855,1001308
1002864,1000016
1002864,1002861
1002914,1000016
1002914,1000260
1002918,1000012
1002918,1000015
1002918,1000086
1002948,1000014
1002964,1000611
1002968,1000439
1002979,1002976
1002996,1000195
1003028,1000236
1003039,1000393
1003039,1000529
1003039,1000530
1003095,1000155
1003095,1000158
1003113,1000394
1003136,1000491
1003136,1003133
1003255,1002059
1003275,1000235
1003275,1000236
1003275,1000545
1003301,1000393
1003301,1000529
1003301,1000530
1003344,1000308
1003344,1000439
1003344,1000440
1003361,1000611
1003375,1000012
1003375,1000015
1003375,1000308
1003375,1001308
1003385,1000393
1003385,1000529
1003385,1000530
1003401,1000308
1003473,1000014
1003473,1000195
1003478,1000015
1003478,1000574
1003545,1000012
1003545,1000015
1003626,1000012
1003626,1000014
1003626,1000015
1003626,1000016
1003626,1000546
1003630,1000611
1003668,1000195
1003668,1001942
1003672,1000236
1003680,1001942
1003743,1000016
1003743,1000245
1003752,1000195
1003752,1001942
1003761,1000308
1003761,1001308
1003765,1001308
1003793,1000012
1003793,1000015
1003793,1003790
1003801,1000014
1003801,1000016
1003801,1000891
1003875,1000611
1003925,1000394
1003969,1000308
1003969,1003966
1003991,1000014
1003991,1000016
1004018,1000195
1004018,1001942
1004023,1000012
1004023,1000015
1004083,1000393
1004083,1000529
1004083,1000530
1004123,1000308
1004128,1000235
1004128,1000236
1004144,1000012
1004144,1000015
1004164,1000013
1004164,1000014
1004164,1000016
1004164,1000838
1004164,1004149
1004201,1000100
1004201,1000102
1004201,1000392
1004201,1000393
1004201,1000720
1004201,1004185
1004201,1004186
1004231,1000308
1004231,1000393
1004231,1000439
1004231,1000529
1004231,1004227
1004231,1004228
1004235,1000235
1004235,1001383
1004265,1000195
1004265,1001942
1004279,1000012
1004279,1000015
1004354,1000014
1004378,1000309
1004378,1000394
1004378,1000718
1004378,1000719
1004431,1000236
1004486,1001942
1004495,1000012
1004495,1000015
1004495,1000890
1004495,1001413
1004495,1004490
1004495,1004491
1004495,1004492
1004507,1000016
1004507,1000610
1004564,1000016
1004569,1000102
1004569,1000158
1004569,1000195
1004609,1000012
1004609,1000015
1004628,1000012
1004628,1000015
1004628,1002976
1004659,1000236
1004677,1000611
1004677,1001618
1004688,1000016
1004692,1000308
1004705,1000016
1004705,1002861
1004773,1002158
1004788,1002792
1004797,1000393
1004797,1000529
1004797,1000530
1004829,1000393
1004829,1000529
1004829,1000530
1004857,1000015
1004857,1000574
1004877,1000611
1004957,1002158
1005049,1000235
1005049,1000236
1005084,1000393
1005084,1000529
1005084,1000530
1005098,1000012
1005098,1000014
1005098,1000015
1005098,1000016
1005098,1000545
1005098,1000546
1005115,1000393
1005115,1000529
1005115,1000530
1005140,1000012
1005140,1000015
1005140,1000561
1005140,1000999
1005164,1000236
1005186,1000012
1005186,1000015
1005186,1000308
