ontologyterm,datasets
1006485,1001024
1006500,1001024
1006574,1001024
1006600,1001024
1006649,1001024
1006685,1001024
1006788,1001024
1006794,1001024
1006865,1001024
1006887,1001024
1006891,1001024
1007031,1001024
1007064,1001024
1007192,1001024
1007195,1001024
1007275,1001024
1007339,1001024
1007349,1001024
1007353,1001024
1007356,1001024
1007383,1001024
1007387,1001024
1007390,1001024
1007414,1001024
1007418,1001024
1007477,1001024
1007541,1001024
1007608,1001024
1007614,1001024
1007617,1001024
1007639,1001024
1007667,1001024
1007700,1001024
1007733,1001024
1007852,1001024
1007855,1001024
1007876,1001024
1007880,1001024
1007883,1001024
1007957,1001024
1008132,1001024
1008143,1001024
1008146,1001024
1008155,1001024
1008159,1001024
1008197,1001024
1008202,1001024
1008272,1001024
1008276,1001024
1008288,1001024
1008337,1001024
1008343,1001024
1008350,1001024
1008354,1001024
1008357,1001024
1008491,1001024
1008495,1001024
1008498,1001024
1008688,1001024
1008691,1001024
1008746,1001024
1008783,1001024
1008791,1001024
1008813,1001024
1008816,1001024
1008823,1001024
1008826,1001024
1008830,1001024
1009062,1001024
1009143,1001024
1009146,1001024
1009153,1001024
1009200,1001024
1009279,1001024
1009432,1001024
1009435,1001024
1009438,1001024
1009441,1001024
1009444,1001024
1009496,1001024
1009608,1001024
1009641,1001024
1009644,1001024
1009657,1001024
1009756,1001024
1009768,1001024
1009774,1001024
1009777,1001024
1009852,1001024
1010144,1001024
1010267,1001024
1010270,1001024
1010273,1001024
1010301,1001024
1010302,1001024
1010305,1001024
1010309,1001024
1010312,1001024
1010337,1001024
1010365,1001024
1010504,1001024
1010508,1001024
1010642,1001024
1010647,1001024
1010750,1001024
1010777,1001024
1010787,1001024
1010790,1001024
1010793,1001024
1010802,1001024
1010810,1001024
1010905,1001024
1010925,1001024
1010937,1001024
1010945,1001024
1011006,1001024
1011012,1001024
1011015,1001024
1011095,1001024
1011102,1001024
1011105,1001024
1011159,1001024
1011344,1001024
1011350,1001024
1011362,1001024
1011394,1001024
1011397,1001024
1011435,1001024
1011461,1001024
1011464,1001024
1011475,1001024
1011478,1001024
1011525,1001024
1011621,1001024
1011833,1001024
1011904,1001024
1011907,1001024
1011910,1001024
1011935,1001024
1011939,1001024
1011951,1001024
1011954,1001024
1011991,1001024
1012093,1001024
1012097,1001024
1012212,1001024
1012218,1001024
1012242,1001024
1012246,1001024
1012453,1001024
1012457,1001024
1012476,1001024
1012652,1001024
1012655,1001024
1012845,1001024
1012851,1001024
1012898,1001024
1012905,1001024
1013019,1001024
1013043,1001024
1013049,1001024
1013057,1001024
1013061,1001024
1013064,1001024
1013187,1001024
1013407,1001024
1013420,1001024
1013424,1001024
1013578,1001024
1013759,1001024
1013762,1001024
1013977,1001024
1013984,1001024
