exons,transcripts
2001613,2001605
2001615,2001605
2001621,2001619
2001623,2001619
2001625,2001619
2001627,2001619
2001634,2001632
2001636,2001632
2001638,2001632
2001640,2001632
2001642,2001632
2001644,2001632
2001646,2001632
2001652,2001650
2001654,2001650
2001656,2001650
2001658,2001650
2001660,2001650
2001662,2001650
2001664,2001650
2001670,2001668
2001676,2001674
2001678,2001674
2001684,2001682
2001686,2001682
2001692,2001690
2001694,2001690
2001700,2001698
2001706,2001704
2001708,2001704
2001714,2001712
2001720,2001718
2001722,2001718
2001724,2001718
2001730,2001728
2001732,2001728
2001738,2001736
2001744,2001742
2001750,2001748
2001752,2001748
2001754,2001748
2001756,2001748
2001762,2001760
2001764,2001760
2001770,2001768
2001776,2001774
2001778,2001774
2001780,2001774
2001782,2001774
2001784,2001774
2001786,2001774
2001788,2001774
2001790,2001774
2001792,2001774
2001794,2001774
2001800,2001798
2001806,2001804
2001812,2001810
2001814,2001810
2001816,2001810
2001818,2001810
2001824,2001822
2001830,2001828
2001836,2001834
2001842,2001840
2001848,2001846
2001850,2001846
2001852,2001846
2001858,2001856
2001860,2001856
2001862,2001856
2001864,2001856
2001866,2001856
2001872,2001870
2001878,2001876
2001884,2001882
2001886,2001882
2001892,2001890
2001894,2001890
2001896,2001890
2001902,2001900
2001904,2001900
2001910,2001908
2001916,2001914
2001918,2001914
2001924,2001922
2001930,2001928
2001932,2001928
2001934,2001928
2001940,2001938
2001946,2001944
2001948,2001944
2001954,2001952
2001960,2001958
2001966,2001964
2001968,2001964
2001970,2001964
2001972,2001964
2001974,2001964
2001980,2001978
2001986,2001984
2001988,2001984
2001990,2001984
2001992,2001984
2001994,2001984
2002000,2001998
2002006,2002004
2002012,2002010
2002014,2002010
2002020,2002018
2002026,2002024
2002028,2002024
2002034,2002032
2002036,2002032
2002042,2002040
2002044,2002040
2002046,2002040
2002052,2002050
2002054,2002050
2002060,2002058
2002062,2002058
2002068,2002066
2002070,2002066
2002072,2002066
2002078,2002076
2002080,2002076
2002082,2002076
2002084,2002076
2002090,2002088
2002092,2002088
2002098,2002096
2002104,2002102
2002106,2002102
2002108,2002102
2002110,2002102
2002112,2002102
2002114,2002102
2002116,2002102
2002118,2002102
2002120,2002102
2002126,2002124
2002132,2002130
2002134,2002130
2002136,2002130
2002142,2002140
2002144,2002140
2002150,2002148
2002152,2002148
2002154,2002148
2002160,2002158
2002162,2002158
2002164,2002158
2002170,2002168
2002176,2002174
2002178,2002174
2002180,2002174
2002182,2002174
2002184,2002174
2002186,2002174
2002188,2002174
2002194,2002192
2002200,2002198
2002206,2002204
2002212,2002210
2002214,2002210
2002220,2002218
2002226,2002224
2002232,2002230
2002234,2002230
2002240,2002238
2002246,2002244
2002248,2002244
2002254,2002252
2002260,2002258
2002262,2002258
2002264,2002258
2002270,2002268
2002276,2002274
2002282,2002280
2002288,2002286
2002294,2002292
2002300,2002298
2002302,2002298
2002304,2002298
2002310,2002308
2002312,2002308
2002318,2002316
2002324,2002322
2002326,2002322
2002328,2002322
2002330,2002322
2002332,2002322
2002334,2002322
2002336,2002322
2002338,2002322
2002344,2002342
2002350,2002348
2002356,2002354
2002362,2002360
2002364,2002360
2002366,2002360
2002372,2002370
2002378,2002376
2002384,2002382
2002386,2002382
2002388,2002382
2002394,2002392
2002401,2002399
2002407,2002405
2002409,2002405
2002411,2002405
